Date,Operator,Scheme Name,Area,Approval Number,Recovery Method,Bitumen Production
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,4746P,Commercial,587.48
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,6726I,Commercial,171.54
2010-01-01,Baytex Energy Ltd. (¹),Cliffdale Pilot,Peace River Area 2,11034E,Commercial-CSS,0.0
2010-01-01,North Peace Energy Corp.,Red Earth,Peace River Area 2,11209A,Commercial-CSS,10.3
2010-01-01,Penn West Petroleum Ltd.,Seal,Peace River Area 2,11377A,Commercial-CSS,0.0
2010-01-01,Baytex Energy Ltd. (¹²),Harmon Valley Pilot,Peace River Area 2,11551,Commercial-CSS,0.0
2010-01-01,Shell Canada Limited,Peace River,Peace River Area 2,8143L,Commercial-CSS,1340.08
2010-01-01,Imperial Oil Resources (¹),Cold Lake,Cold Lake,8558P,Commercial-CSS,23584.24
2010-01-01,Canadian Natural Resources Limited (¹),Primrose and Wolf Lake,"Athabasca, Cold Lake",9140K,Commercial-CSS,9071.36
2010-01-01,Devon NEC Corporation (¹),Jackfish 1,Athabasca,10097D,Commercial-SAGD,4434.35
2010-01-01,Shell Canada Limited,Orion,Cold Lake,10103E,Commercial-SAGD,402.46
2010-01-01,Connacher Oil And Gas Limited,Great Divide,Athabasca,10587C,Commercial-SAGD,1050.3
2010-01-01,Meg Energy Corp.,Christina Lake,Athabasca,10773D,Commercial-SAGD,1222.04
2010-01-01,Statoil Canada Ltd. (¹),Leismer,Athabasca,10935E,Commercial-SAGD,0.0
2010-01-01,Connacher Oil And Gas Limited,Algar,Athabasca,11253C,Commercial-SAGD,0.0
2010-01-01,Cenovus Energy Inc.,Pelican Lake,Athabasca,11469,Commercial-SAGD,0.0
2010-01-01,Cenovus FCCL Ltd.,Christina Lake,Athabasca,8591O,Commercial-SAGD,2295.47
2010-01-01,Cenovus FCCL Ltd.,Foster Creek,Athabasca,8623Z,Commercial-SAGD,15683.1
2010-01-01,Suncor Energy Inc.,Mackay River,Athabasca,8668G,Commercial-SAGD,4644.87
2010-01-01,Japan Canada Oil Sands Limited (¹),Hangingstone,Athabasca,8788I,Commercial-SAGD,1186.33
2010-01-01,Suncor Energy Inc. (¹),Firebag,Athabasca,8870R,Commercial-SAGD,8404.58
2010-01-01,Total E&P Joslyn Ltd. (¹),Joslyn Creek,Athabasca,9272E,Commercial-SAGD,0.0
2010-01-01,ConocoPhillips Canada Resources Corp.,Surmont,Athabasca,9426F,Commercial-SAGD,2552.84
2010-01-01,ConocoPhillips Canada Limited,Surmont Pilot,Athabasca,9460C,Commercial-SAGD,111.31
2010-01-01,Nexen Inc.,Long Lake,Athabasca,9485I,Commercial-SAGD,2576.6
2010-01-01,Husky Oil Operations Limited,Tucker Lake,Cold Lake,9835H,Commercial-SAGD,755.92
2010-01-01,Canadian Natural Resources,,Athabasca,10147D,Enhanced Recovery,686.19
2010-01-01,Canadian Natural Resources Limited (¹),,Athabasca,10423E,Enhanced Recovery,1655.57
2010-01-01,Canadian Natural Resources Limited,,Athabasca,10787A,Enhanced Recovery,123.03
2010-01-01,Murphy Oil Company Ltd.,,Peace River Area 2,11320,Enhanced Recovery,38.74
2010-01-01,Cenovus Energy Inc.,Brintnell,Athabasca,9404K,Enhanced Recovery,3617.22
2010-01-01,Canadian Natural Resources Limited,,Athabasca,9673H,Enhanced Recovery,1755.87
2010-01-01,Meg Energy Corp.,GRIPE,Athabasca,10100B,Experimental,0.0
2010-01-01,Cenovus Energy Inc. (¹),,Athabasca,10440H,Experimental,0.0
2010-01-01,Prosper Petroleum Ltd.,,Peace River Area 1,10070G,Primary,314.33
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10154C,Primary,237.09
2010-01-01,Penn West Energy Trust,,Peace River Area 2,10174B,Primary,77.21
2010-01-01,Husky Oil Operations Limited,,Cold Lake,10259,Primary,39.57
2010-01-01,Murphy Oil Company Ltd.,,Peace River Area 2,10290,Primary,6.26
2010-01-01,Murphy Oil Company Ltd.,,Peace River Area 2,10329F,Primary,794.07
2010-01-01,Baytex Energy Ltd.,,Peace River Area 2,10391C,Primary,758.82
2010-01-01,Husky Oil Operations Limited,,Peace River Area 2,10412B,Primary,562.98
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10454A,Primary,18.76
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10459,Primary,92.51
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10471,Primary,4.12
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10518A,Primary,72.63
2010-01-01,Shell Canada Energy,,Peace River Area 2,10532D,Primary,188.35
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10547,Primary,23.01
2010-01-01,Shell Canada Limited,,Peace River Area 2,10557C,Primary,1416.44
2010-01-01,Husky Oil Operations Ltd.,,Cold Lake,10597,Primary,74.55
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10618D,Primary,179.42
2010-01-01,Husky Oil Operations Limited,,Cold Lake,10619C,Primary,147.42
2010-01-01,Action Energy Inc.,,Cold Lake,10631A,Primary,2.75
2010-01-01,Penn West Energy Trust,,Peace River Area 2,10647D,Primary,9.64
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10725,Primary,7.85
2010-01-01,Penn West Energy Trust,,Peace River Area 2,10745B,Primary,1.65
2010-01-01,Shell Canada Limited,,Peace River Area 1,10746C,Primary,1.58
2010-01-01,Husky Oil Operations Limited,,Cold Lake,10812A,Primary,83.78
2010-01-01,Devon Canada Corporation,,Cold Lake,10828,Primary,247.27
2010-01-01,Bonavista Petroleum Ltd.,,Cold Lake,10853,Primary,7.92
2010-01-01,Husky Oil Operations Limited,,Cold Lake,10863,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,10882,Primary,52.31
2010-01-01,Murphy Oil Canada,,Peace River Area 2,10915A,Primary,29.07
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11016A,Primary,387.12
2010-01-01,Watch Resources Ltd.,,Cold Lake,11018,Primary,0.0
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11041,Primary,91.12
2010-01-01,Penn West Energy Trust,,Peace River Area 2,11060C,Primary,45.21
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11188A,Primary,21.62
2010-01-01,Manitok Exploration Inc.,,Cold Lake,11191,Primary,9.01
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11192,Primary,17.6
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11205,Primary,5.05
2010-01-01,Koch Exploration Canada G/P Ltd.,,Peace River Area 2,11220,Primary,3.47
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11227B,Primary,17.52
2010-01-01,Husky Oil Operations Limited (et Al),,Cold Lake,11246,Primary,0.0
2010-01-01,Twin Butte Energy Ltd.,,Cold Lake,11256A,Primary,350.08
2010-01-01,Baytex Energy Ltd.,,Peace River Area 2,11257B,Primary,321.29
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11275,Primary,18.41
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11287,Primary,14.6
2010-01-01,Murphy Oil Company Ltd.,,Peace River Area 2,11306,Primary,7.2
2010-01-01,Baytex Energy Ltd.,,Peace River Area 2,11327,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11349,Primary,0.0
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11350,Primary,1.17
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11352,Primary,97.8
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11362,Primary,6.97
2010-01-01,Bonavista Petroleum Ltd.,,Cold Lake,11364,Primary,19.78
2010-01-01,Sunshine Oilsands Ltd.,,Athabasca,11382A,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11383,Primary,6.15
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11416,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11428A,Primary,0.0
2010-01-01,Solara Exploration Ltd.,,Cold Lake,11429A,Primary,0.0
2010-01-01,Baytex Energy Ltd.,,Peace River Area 1,11437,Primary,0.0
2010-01-01,Husky Oil Operations Limited,,Cold Lake,11450,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11477,Primary,0.0
2010-01-01,Canadian Natural Resources Limited (¹²),,Athabasca,11480,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11481,Primary,0.0
2010-01-01,Husky Oil Operations Limited,,Athabasca,11501,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11503,Primary,0.0
2010-01-01,Bellatrix Exploration Ltd. (¹²),,Cold Lake,11545,Primary,0.0
2010-01-01,Shell Canada Limited,,Peace River Area 2,11556,Primary,0.0
2010-01-01,Cenovus Energy Inc.,,Cold Lake,11567,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,11574,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,5692D,Primary,1.55
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,6280F,Primary,466.71
2010-01-01,Canadian Natural Resources Limited,,Athabasca,6619Y,Primary,434.46
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,6764D,Primary,3.85
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,7118G,Primary,171.48
2010-01-01,Bonavista Petroleum Ltd.,,Cold Lake,7164J,Primary,94.6
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,7389D,Primary,82.27
2010-01-01,Bonavista Petroleum Ltd.,,Cold Lake,7515C,Primary,109.88
2010-01-01,Blackpearl Resources Inc. (¹),,Cold Lake,7920F,Primary,1.34
2010-01-01,Devon Canada Corporation,,Cold Lake,7936J,Primary,5097.6
2010-01-01,Husky Oil Operations Limited,,Cold Lake,7990H,Primary,164.74
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8002E,Primary,9.14
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8017D,Primary,35.58
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8018C,Primary,172.63
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8035A,Primary,14.75
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8042H,Primary,749.7
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8043B,Primary,149.75
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8069F,Primary,261.41
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8087A,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8161E,Primary,84.65
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8162F,Primary,461.92
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8179C,Primary,28.86
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8180B,Primary,11.16
2010-01-01,Devon Canada Corporation,,Cold Lake,8202A,Primary,120.09
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8215C,Primary,39.14
2010-01-01,Devon Canada Corporation,,Athabasca,8304A,Primary,0.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8319,Primary,85.66
2010-01-01,Baytex Energy Ltd.,,Cold Lake,8341B,Primary,69.34
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8434A,Primary,0.71
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8536A,Primary,19.53
2010-01-01,Crispin Energy Inc.,,Cold Lake,8567A,Primary,1.21
2010-01-01,Devon Canada Corporation,,Cold Lake,8611A,Primary,59.87
2010-01-01,Husky Oil Operations Limited,,Cold Lake,8655B,Primary,19.52
2010-01-01,Husky Oil Operations Limited (¹),,Athabasca,8756D,Primary,87.98
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,8908H,Primary,596.94
2010-01-01,Buffalo Resources Corp.,,Cold Lake,8932C,Primary,15.11
2010-01-01,Shell Canada Limited,,Peace River Area 2,8972E,Primary,333.81
2010-01-01,Canadian Natural Resources Limited,,Athabasca,8993D,Primary,37.22
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,9006B,Primary,54.08
2010-01-01,Devon Canada Corporation,,Cold Lake,9148,Primary,19.65
2010-01-01,ExxonMobil Canada Ltd.,,Cold Lake,9158B,Primary,61.21
2010-01-01,Harvest Operations Corp.,,Cold Lake,9266B,Primary,51.27
2010-01-01,Baytex Energy Ltd.,,Cold Lake,9278G,Primary,148.76
2010-01-01,Crispin Energy Inc.,,Cold Lake,9313,Primary,10.11
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,9340,Primary,133.0
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,9349C,Primary,308.94
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,9387J,Primary,456.05
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,9415M,Primary,1347.54
2010-01-01,Bonavista Petroleum Ltd.,,Cold Lake,9427A,Primary,86.42
2010-01-01,Canadian Natural Resources Limited,,Athabasca,9466J,Primary,886.21
2010-01-01,Canadian Natural Resources Limited,,Cold Lake,9473B,Primary,89.75
2010-01-01,Husky Oil Operations Limited,,Cold Lake,9504A,Primary,1.69
2010-01-01,Baytex Energy Ltd.,,Cold Lake,9579A,Primary,31.53
2010-01-01,Penn West Energy Trust,,Peace River Area 2,9607C,Primary,145.3
2010-01-01,ExxonMobil Canada Ltd.,,Cold Lake,9631,Primary,64.64
2010-01-01,Shell Canada Limited,,Peace River Area 2,9727C,Primary,457.17
2010-01-01,Bronco Energy Ltd.,,Athabasca,9774E,Primary,28.65
2010-01-01,Devon Canada Corporation,,Cold Lake,9821,Primary,4.0
2010-01-01,Frog Lake Energy Resources Corp.,,Cold Lake,9827B,Primary,11.42
2010-01-01,Husky Oil Operations Limited,,Cold Lake,9873,Primary,12.32
2010-01-01,Canadian Natural Resources Limited,,Athabasca,9884D,Primary,65.64
2010-01-01,Koch Exploration Canada G/P Ltd. (¹),,Cold Lake,9908D,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,4746P,Commercial,596.72
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,6726I,Commercial,193.66
2010-02-01,Baytex Energy Ltd. (¹),Cliffdale Pilot,Peace River Area 2,11034E,Commercial-CSS,2.55
2010-02-01,North Peace Energy Corp.,Red Earth,Peace River Area 2,11209A,Commercial-CSS,4.7
2010-02-01,Penn West Petroleum Ltd.,Seal,Peace River Area 2,11377A,Commercial-CSS,0.0
2010-02-01,Baytex Energy Ltd. (¹²),Harmon Valley Pilot,Peace River Area 2,11551,Commercial-CSS,0.0
2010-02-01,Shell Canada Limited,Peace River,Peace River Area 2,8143L,Commercial-CSS,1235.73
2010-02-01,Imperial Oil Resources (¹),Cold Lake,Cold Lake,8558P,Commercial-CSS,24413.06
2010-02-01,Canadian Natural Resources Limited (¹),Primrose and Wolf Lake,"Athabasca, Cold Lake",9140K,Commercial-CSS,11809.19
2010-02-01,Devon NEC Corporation (¹),Jackfish 1,Athabasca,10097D,Commercial-SAGD,4177.67
2010-02-01,Shell Canada Limited,Orion,Cold Lake,10103E,Commercial-SAGD,362.65
2010-02-01,Connacher Oil And Gas Limited,Great Divide,Athabasca,10587C,Commercial-SAGD,1134.17
2010-02-01,Meg Energy Corp.,Christina Lake,Athabasca,10773D,Commercial-SAGD,2012.71
2010-02-01,Statoil Canada Ltd. (¹),Leismer,Athabasca,10935E,Commercial-SAGD,0.0
2010-02-01,Connacher Oil And Gas Limited,Algar,Athabasca,11253C,Commercial-SAGD,0.0
2010-02-01,Cenovus Energy Inc.,Pelican Lake,Athabasca,11469,Commercial-SAGD,0.0
2010-02-01,Cenovus FCCL Ltd.,Christina Lake,Athabasca,8591O,Commercial-SAGD,2116.0
2010-02-01,Cenovus FCCL Ltd.,Foster Creek,Athabasca,8623Z,Commercial-SAGD,16847.06
2010-02-01,Suncor Energy Inc.,Mackay River,Athabasca,8668G,Commercial-SAGD,5330.79
2010-02-01,Japan Canada Oil Sands Limited (¹),Hangingstone,Athabasca,8788I,Commercial-SAGD,1155.23
2010-02-01,Suncor Energy Inc. (¹),Firebag,Athabasca,8870R,Commercial-SAGD,8923.0
2010-02-01,Total E&P Joslyn Ltd. (¹),Joslyn Creek,Athabasca,9272E,Commercial-SAGD,0.0
2010-02-01,ConocoPhillips Canada Resources Corp.,Surmont,Athabasca,9426F,Commercial-SAGD,2689.48
2010-02-01,ConocoPhillips Canada Limited,Surmont Pilot,Athabasca,9460C,Commercial-SAGD,110.54
2010-02-01,Nexen Inc.,Long Lake,Athabasca,9485I,Commercial-SAGD,2803.16
2010-02-01,Husky Oil Operations Limited,Tucker Lake,Cold Lake,9835H,Commercial-SAGD,668.59
2010-02-01,Canadian Natural Resources,,Athabasca,10147D,Enhanced Recovery,693.14
2010-02-01,Canadian Natural Resources Limited (¹),,Athabasca,10423E,Enhanced Recovery,1715.3
2010-02-01,Canadian Natural Resources Limited,,Athabasca,10787A,Enhanced Recovery,119.25
2010-02-01,Murphy Oil Company Ltd.,,Peace River Area 2,11320,Enhanced Recovery,50.49
2010-02-01,Cenovus Energy Inc.,Brintnell,Athabasca,9404K,Enhanced Recovery,3876.13
2010-02-01,Canadian Natural Resources Limited,,Athabasca,9673H,Enhanced Recovery,1565.57
2010-02-01,Meg Energy Corp.,GRIPE,Athabasca,10100B,Experimental,0.0
2010-02-01,Cenovus Energy Inc. (¹),,Athabasca,10440H,Experimental,0.0
2010-02-01,Prosper Petroleum Ltd.,,Peace River Area 1,10070G,Primary,320.06
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10154C,Primary,232.06
2010-02-01,Penn West Energy Trust,,Peace River Area 2,10174B,Primary,72.53
2010-02-01,Husky Oil Operations Limited,,Cold Lake,10259,Primary,42.45
2010-02-01,Murphy Oil Company Ltd.,,Peace River Area 2,10290,Primary,6.28
2010-02-01,Murphy Oil Company Ltd.,,Peace River Area 2,10329F,Primary,780.85
2010-02-01,Baytex Energy Ltd.,,Peace River Area 2,10391C,Primary,768.04
2010-02-01,Husky Oil Operations Limited,,Peace River Area 2,10412B,Primary,589.89
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10454A,Primary,15.2
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10459,Primary,76.83
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10471,Primary,4.34
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10518A,Primary,103.47
2010-02-01,Shell Canada Energy,,Peace River Area 2,10532D,Primary,194.08
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10547,Primary,19.0
2010-02-01,Shell Canada Limited,,Peace River Area 2,10557C,Primary,1427.77
2010-02-01,Husky Oil Operations Ltd.,,Cold Lake,10597,Primary,64.84
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10618D,Primary,177.38
2010-02-01,Husky Oil Operations Limited,,Cold Lake,10619C,Primary,155.75
2010-02-01,Action Energy Inc.,,Cold Lake,10631A,Primary,3.13
2010-02-01,Penn West Energy Trust,,Peace River Area 2,10647D,Primary,10.67
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10725,Primary,10.28
2010-02-01,Penn West Energy Trust,,Peace River Area 2,10745B,Primary,18.51
2010-02-01,Shell Canada Limited,,Peace River Area 1,10746C,Primary,1.76
2010-02-01,Husky Oil Operations Limited,,Cold Lake,10812A,Primary,86.04
2010-02-01,Devon Canada Corporation,,Cold Lake,10828,Primary,263.04
2010-02-01,Bonavista Petroleum Ltd.,,Cold Lake,10853,Primary,6.91
2010-02-01,Husky Oil Operations Limited,,Cold Lake,10863,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,10882,Primary,35.2
2010-02-01,Murphy Oil Canada,,Peace River Area 2,10915A,Primary,25.3
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11016A,Primary,431.28
2010-02-01,Watch Resources Ltd.,,Cold Lake,11018,Primary,0.0
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11041,Primary,92.4
2010-02-01,Penn West Energy Trust,,Peace River Area 2,11060C,Primary,43.26
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11188A,Primary,20.35
2010-02-01,Manitok Exploration Inc.,,Cold Lake,11191,Primary,13.28
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11192,Primary,22.0
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11205,Primary,17.11
2010-02-01,Koch Exploration Canada G/P Ltd.,,Peace River Area 2,11220,Primary,5.6
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11227B,Primary,14.07
2010-02-01,Husky Oil Operations Limited (et Al),,Cold Lake,11246,Primary,0.0
2010-02-01,Twin Butte Energy Ltd.,,Cold Lake,11256A,Primary,350.31
2010-02-01,Baytex Energy Ltd.,,Peace River Area 2,11257B,Primary,306.98
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11275,Primary,18.24
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11287,Primary,18.76
2010-02-01,Murphy Oil Company Ltd.,,Peace River Area 2,11306,Primary,9.44
2010-02-01,Baytex Energy Ltd.,,Peace River Area 2,11327,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11349,Primary,0.0
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11350,Primary,3.71
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11352,Primary,80.03
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11362,Primary,9.41
2010-02-01,Bonavista Petroleum Ltd.,,Cold Lake,11364,Primary,24.03
2010-02-01,Sunshine Oilsands Ltd.,,Athabasca,11382A,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11383,Primary,5.98
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11416,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11428A,Primary,0.0
2010-02-01,Solara Exploration Ltd.,,Cold Lake,11429A,Primary,0.0
2010-02-01,Baytex Energy Ltd.,,Peace River Area 1,11437,Primary,0.0
2010-02-01,Husky Oil Operations Limited,,Cold Lake,11450,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11477,Primary,0.0
2010-02-01,Canadian Natural Resources Limited (¹²),,Athabasca,11480,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11481,Primary,0.0
2010-02-01,Husky Oil Operations Limited,,Athabasca,11501,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11503,Primary,0.0
2010-02-01,Bellatrix Exploration Ltd. (¹²),,Cold Lake,11545,Primary,0.0
2010-02-01,Shell Canada Limited,,Peace River Area 2,11556,Primary,0.0
2010-02-01,Cenovus Energy Inc.,,Cold Lake,11567,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,11574,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,5692D,Primary,0.89
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,6280F,Primary,489.64
2010-02-01,Canadian Natural Resources Limited,,Athabasca,6619Y,Primary,437.83
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,6764D,Primary,3.61
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,7118G,Primary,194.11
2010-02-01,Bonavista Petroleum Ltd.,,Cold Lake,7164J,Primary,87.41
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,7389D,Primary,75.91
2010-02-01,Bonavista Petroleum Ltd.,,Cold Lake,7515C,Primary,101.4
2010-02-01,Blackpearl Resources Inc. (¹),,Cold Lake,7920F,Primary,3.32
2010-02-01,Devon Canada Corporation,,Cold Lake,7936J,Primary,5088.84
2010-02-01,Husky Oil Operations Limited,,Cold Lake,7990H,Primary,153.72
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8002E,Primary,10.76
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8017D,Primary,26.84
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8018C,Primary,245.25
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8035A,Primary,12.46
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8042H,Primary,803.19
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8043B,Primary,160.53
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8069F,Primary,278.13
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8087A,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8161E,Primary,80.48
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8162F,Primary,498.69
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8179C,Primary,32.07
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8180B,Primary,8.63
2010-02-01,Devon Canada Corporation,,Cold Lake,8202A,Primary,128.81
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8215C,Primary,44.37
2010-02-01,Devon Canada Corporation,,Athabasca,8304A,Primary,0.0
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8319,Primary,96.22
2010-02-01,Baytex Energy Ltd.,,Cold Lake,8341B,Primary,64.96
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8434A,Primary,0.64
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8536A,Primary,20.73
2010-02-01,Crispin Energy Inc.,,Cold Lake,8567A,Primary,0.5
2010-02-01,Devon Canada Corporation,,Cold Lake,8611A,Primary,65.95
2010-02-01,Husky Oil Operations Limited,,Cold Lake,8655B,Primary,21.83
2010-02-01,Husky Oil Operations Limited (¹),,Athabasca,8756D,Primary,91.11
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,8908H,Primary,625.0
2010-02-01,Buffalo Resources Corp.,,Cold Lake,8932C,Primary,12.01
2010-02-01,Shell Canada Limited,,Peace River Area 2,8972E,Primary,304.1
2010-02-01,Canadian Natural Resources Limited,,Athabasca,8993D,Primary,40.43
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,9006B,Primary,45.18
2010-02-01,Devon Canada Corporation,,Cold Lake,9148,Primary,11.92
2010-02-01,ExxonMobil Canada Ltd.,,Cold Lake,9158B,Primary,60.58
2010-02-01,Harvest Operations Corp.,,Cold Lake,9266B,Primary,55.08
2010-02-01,Baytex Energy Ltd.,,Cold Lake,9278G,Primary,148.51
2010-02-01,Crispin Energy Inc.,,Cold Lake,9313,Primary,8.56
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,9340,Primary,148.68
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,9349C,Primary,335.43
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,9387J,Primary,415.09
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,9415M,Primary,1319.47
2010-02-01,Bonavista Petroleum Ltd.,,Cold Lake,9427A,Primary,76.95
2010-02-01,Canadian Natural Resources Limited,,Athabasca,9466J,Primary,862.33
2010-02-01,Canadian Natural Resources Limited,,Cold Lake,9473B,Primary,91.0
2010-02-01,Husky Oil Operations Limited,,Cold Lake,9504A,Primary,2.79
2010-02-01,Baytex Energy Ltd.,,Cold Lake,9579A,Primary,37.48
2010-02-01,Penn West Energy Trust,,Peace River Area 2,9607C,Primary,136.39
2010-02-01,ExxonMobil Canada Ltd.,,Cold Lake,9631,Primary,70.21
2010-02-01,Shell Canada Limited,,Peace River Area 2,9727C,Primary,452.66
2010-02-01,Bronco Energy Ltd.,,Athabasca,9774E,Primary,28.58
2010-02-01,Devon Canada Corporation,,Cold Lake,9821,Primary,3.41
2010-02-01,Frog Lake Energy Resources Corp.,,Cold Lake,9827B,Primary,5.22
2010-02-01,Husky Oil Operations Limited,,Cold Lake,9873,Primary,12.8
2010-02-01,Canadian Natural Resources Limited,,Athabasca,9884D,Primary,68.55
2010-02-01,Koch Exploration Canada G/P Ltd. (¹),,Cold Lake,9908D,Primary,0.0
