Year,Month,Date,Label,Top Level,Category 1,Category 2,Type,Value
2017,7,2017-07-01,Crude Oil Ultra Heavy,Crude Oil Ultra-Heavy,Production,Crude Oil Production,flow,376886.5
2017,8,2017-08-01,Crude Oil Ultra Heavy,Crude Oil Ultra-Heavy,Production,Crude Oil Production,flow,375765.1
2017,9,2017-09-01,Crude Oil Ultra Heavy,Crude Oil Ultra-Heavy,Production,Crude Oil Production,flow,361004.7
2017,10,2017-10-01,Crude Oil Ultra Heavy,Crude Oil Ultra-Heavy,Production,Crude Oil Production,flow,370560.7
2017,11,2017-11-01,Crude Oil Ultra Heavy,Crude Oil Ultra-Heavy,Production,Crude Oil Production,flow,376381.5
2017,12,2017-12-01,Crude Oil Ultra Heavy,Crude Oil Ultra-Heavy,Production,Crude Oil Production,flow,384014.7
2017,1,2017-01-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2113987
2017,2,2017-02-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,1945554.7999999998
2017,3,2017-03-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2187503.3
2017,4,2017-04-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2100732.1
2017,5,2017-05-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2145337.2
2017,6,2017-06-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2103075.5
2017,7,2017-07-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2177730.5999999996
2017,8,2017-08-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2168525.1999999997
2017,9,2017-09-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2131757.7
2017,10,2017-10-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2228782.8000000003
2017,11,2017-11-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2240869.8
2017,12,2017-12-01,Total Conventional Oil Production,Total Crude Oil Production,Production,Crude Oil Production,flow,2340833.7
2017,1,2017-01-01,Condensate Production,Condensate Production,Production,,flow,278782.3
2017,2,2017-02-01,Condensate Production,Condensate Production,Production,,flow,247183.7
2017,3,2017-03-01,Condensate Production,Condensate Production,Production,,flow,269650
2017,4,2017-04-01,Condensate Production,Condensate Production,Production,,flow,293362.1
2017,5,2017-05-01,Condensate Production,Condensate Production,Production,,flow,316022.7
2017,6,2017-06-01,Condensate Production,Condensate Production,Production,,flow,291028.1
2017,7,2017-07-01,Condensate Production,Condensate Production,Production,,flow,314406.4
2017,8,2017-08-01,Condensate Production,Condensate Production,Production,,flow,286346
2017,9,2017-09-01,Condensate Production,Condensate Production,Production,,flow,342119.9
2017,10,2017-10-01,Condensate Production,Condensate Production,Production,,flow,367756.3
2017,11,2017-11-01,Condensate Production,Condensate Production,Production,,flow,337483
2017,12,2017-12-01,Condensate Production,Condensate Production,Production,,flow,334805.3
2017,1,2017-01-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7781323.6
2017,2,2017-02-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7002054.8
2017,3,2017-03-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7698418
2017,4,2017-04-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,6786835.2
2017,5,2017-05-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,6646001.6
2017,6,2017-06-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,6922292.5
2017,7,2017-07-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7513478.4
2017,8,2017-08-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7894921
2017,9,2017-09-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7670233.2
2017,10,2017-10-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7991348.4
2017,11,2017-11-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,7846736
2017,12,2017-12-01,In Situ Production,In Situ Production,Production,Nonupgraded,flow,8170553.4
2017,1,2017-01-01,Mined Production,Mined Production,Production,Nonupgraded,flow,6847373.2
2017,2,2017-02-01,Mined Production,Mined Production,Production,Nonupgraded,flow,6359854.9
2017,3,2017-03-01,Mined Production,Mined Production,Production,Nonupgraded,flow,5827256.7
2017,4,2017-04-01,Mined Production,Mined Production,Production,Nonupgraded,flow,4618262.8
2017,5,2017-05-01,Mined Production,Mined Production,Production,Nonupgraded,flow,5771597.4
2017,6,2017-06-01,Mined Production,Mined Production,Production,Nonupgraded,flow,5619310.6
2017,7,2017-07-01,Mined Production,Mined Production,Production,Nonupgraded,flow,6554798.7
2017,8,2017-08-01,Mined Production,Mined Production,Production,Nonupgraded,flow,7263399.6
2017,9,2017-09-01,Mined Production,Mined Production,Production,Nonupgraded,flow,5858772.3
2017,10,2017-10-01,Mined Production,Mined Production,Production,Nonupgraded,flow,5386189.4
2017,11,2017-11-01,Mined Production,Mined Production,Production,Nonupgraded,flow,6761440.9
2017,12,2017-12-01,Mined Production,Mined Production,Production,Nonupgraded,flow,7129421
2017,1,2017-01-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-6542563.7
2017,2,2017-02-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-5889471.7
2017,3,2017-03-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-5479222.3
2017,4,2017-04-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-4036864.8
2017,5,2017-05-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-5024630.6
2017,6,2017-06-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-5255756.7
2017,7,2017-07-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-5965509.3
2017,8,2017-08-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-6646640.2
2017,9,2017-09-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-5469434.4
2017,10,2017-10-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-5083797.9
2017,11,2017-11-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-6068384
2017,12,2017-12-01,Sent for Further Processing,Sent for Further Processing,Production,Nonupgraded,flow,-6839555.7
2017,1,2017-01-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8086133.100000001
2017,2,2017-02-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,7472437.999999999
2017,3,2017-03-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8046452.399999999
2017,4,2017-04-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,7368233.2
2017,5,2017-05-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,7392968.4
2017,6,2017-06-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,7285846.399999999
